code,borough_name,crime,census population,crime rate (per thousand person),population density (per hectare),income median,unemployment_rate,education_level,Residential density,green space density(Parks per 100000 person)
E09000002,barking and dagenham,19723,185900,106.0946746,51.48,28600 ,7.7,52.9,2131.7,38.69
E09000003,barnet,28091,356400,78.81874299,41.08,34400 ,6.4,69.9,1801,31.14
E09000004,bexley,16394,232000,70.6637931,38.3,31800 ,5.1,61.9,1638.8,36.28
E09000005,brent,32144,311200,103.2904884,71.98,29400 ,6.4,67.7,2959.7,35.7
E09000006,bromley,24070,309400,77.79573368,20.61,38100 ,4.7,67.2,946.6,46.5
E09000007,camden,42678,220300,193.7267363,101.1,40600 ,4.7,65.1,4964.9,69.26
E09000008,croydon,35089,363400,96.55751238,42.01,31800 ,6.6,64.4,1876,31.93
E09000009,ealing,31322,338400,92.55910165,60.92,31500 ,6.7,68,2560.8,48.76
E09000010,enfield,29719,312500,95.1008,38.66,31300 ,7.1,62.8,1584.8,44.28
E09000011,greenwich,27654,254600,108.6174391,53.79,33800 ,6.4,58,2558.5,48.96
E09000012,hackney,33125,246300,134.4904588,129.3,34300 ,4.8,66.8,6123.2,71.79
E09000013,hammersmith and fulham,21177,182500,116.0383562,111.3,38300 ,5.2,64.8,5664.3,51.56
E09000014,haringey,28243,254900,110.8003138,86.12,31800 ,5.7,64.2,3828.7,53.63
E09000015,harrow,16382,239100,68.51526558,47.38,33200 ,5.8,76.1,1877.1,27.71
E09000016,havering,19635,237200,82.77824621,21.11,32000 ,5,56.7,948.8,44.38
E09000017,hillingdon,29757,273900,108.6418401,23.67,31900 ,6.2,62.2,998.1,60.5
E09000018,hounslow,26191,254000,103.1141732,45.38,30600 ,6.3,70,1931,53.43
E09000019,islington,31196,206100,151.3634158,138.73,40300 ,5,59.3,7174.5,87.95
E09000020,kensington and chelsea,22645,158700,142.6906112,130.9,47700 ,5.3,69.9,7374.4,41.37
E09000021,kingston upon thames,11339,160100,70.8244847,42.97,37300 ,4.3,71.8,1846.8,40.48
E09000022,lambeth,37881,303100,124.9785549,113.05,35800 ,4.8,61.1,5463.1,72.54
E09000023,lewisham,29846,275900,108.1768757,78.49,34500 ,5.2,56.8,3745,51.56
E09000024,merton,13830,199700,69.25388082,53.08,36400 ,5.2,60.6,2303.9,46
E09000025,newham,40746,308000,132.2922078,85.09,28900 ,5.9,65,3453.5,44.41
E09000026,redbridge,23587,279000,84.54121864,49.45,31200 ,7.5,74.2,1905.9,24.25
E09000027,richmond upon thames,12095,187000,64.67914439,32.57,45300 ,4.6,64.9,1491,72.63
E09000028,southwark,40008,288300,138.7721124,99.89,36200 ,5,59.8,4912.1,93.81
E09000029,sutton,12805,190100,67.35928459,43.36,33400 ,5.1,71.5,1946.3,44.52
E09000030,tower hamlets,36151,254100,142.2707595,128.45,37300 ,5.9,63.7,6791.7,72.42
E09000031,waltham forest,25032,258200,96.94810225,66.53,32500 ,6.6,63.6,2787.9,35.87
E09000032,wandsworth,25499,307000,83.05863192,89.6,42200 ,4.3,65.5,4386.7,41.94
E09000033,westminster,89134,219400,406.2625342,102.11,42600 ,5,68.1,5995.8,45.86